case_name,expected_level,predicted_level,semantic_similarity,skill_overlap,final_score,matched_count,missing_count
Strong NLP/Data Science Match,High,High,0.6835,0.9,0.7809,9,1
Moderate Data Science Match,Medium,Medium,0.5351,0.375,0.463,3,5
Weak Match,Low,Low,0.1337,0.0,0.0735,0,7
Strong Data Analyst Match,High,High,0.7526,1.0,0.8639,11,0
Strong Business Intelligence Analyst Match,High,High,0.8777,0.9231,0.8827,12,1
Strong Data Engineer Analyst Match,High,High,0.8648,1.0,0.9257,10,0
Moderate Data Analyst Match,Medium,Medium,0.7012,0.3333,0.519,4,8
Moderate BI Analyst Match,Medium,Medium,0.8009,0.4545,0.6494,5,6
Moderate ML Analyst Match,Medium,Medium,0.6183,0.3,0.4686,3,7
Weak Marketing Match,Low,Low,0.2719,0.0,0.1495,0,12
Weak Frontend Developer Match,Low,Low,0.2741,0.0,0.1507,0,11
Weak HR Coordinator Match,Low,Low,0.2981,0.0,0.164,0,10
